model,tn,fp,fn,tp,precision,recall,f1_score,roc_auc
Random Forest,3310,28,45,124,0.8157894736842105,0.7337278106508875,0.7725856697819314,0.9837216063192005
XGBoost Classifier,3323,15,41,128,0.8951048951048951,0.757396449704142,0.8205128205128205,0.990649185814416
Logistic Regression,3142,196,42,127,0.3931888544891641,0.7514792899408284,0.516260162601626,0.9459815429995639
XGBoost Regressor,3288,50,42,127,0.7175141242937854,0.7514792899408284,0.7341040462427746,0.9788095482891997
